date;stock;marketcap
1/01/2018;Cryptototal;719
1/01/2018;CryptoexBit;427
1/01/2018;Bitcoin;292
1/01/2018;SP500;22800
1/01/2018;Apple;746
1/01/2019;Cryptototal;126
1/01/2019;CryptoexBit;61
1/01/2019;Bitcoin;65
1/01/2019;SP500;21030
1/01/2019;Apple;1287
1/01/2020;Cryptototal;193
1/01/2020;CryptoexBit;63
1/01/2020;Bitcoin;130
1/01/2020;SP500;26760
1/01/2020;Apple;2255
1/01/2021;Cryptototal;843
1/01/2021;CryptoexBit;143
1/01/2021;Bitcoin;700
1/01/2021;SP500;31660
1/01/2021;Apple;2892
1/01/2022;Cryptototal;2229
1/01/2022;CryptoexBit;1359
1/01/2022;Bitcoin;870
1/01/2022;SP500;40730
1/01/2022;Apple;2913
